jenis_bencana,2012,2013,2014,2015,2016,2017,2018,2019,Grand Total
Angin Puting Beliung,543,500,618,571,663,885,804,568,5,152
Banjir,581,710,588,523,820,973,673,247,5,115
Gelombang Pasang,29,36,20,7,22,11,34,8,167
Gempa Bumi,12,6,13,25,10,17,22,13,118
Gunung Meletus,7,8,4,9,7,1,58,4,98
Kebakaran Hutan,49,21,100,46,178,96,370,55,915
Kekeringan,263,66,7,7,,19,129,33,524
Tanah Longsor,287,293,598,502,598,844,473,355,3,950
Tsunami,0,0,2,0,0,0,2,0,4
Grand Total,1,771,1,640,1,950,1,690,2,298,2,846,2,565,1,283,16,043
